ticker,company_name,yahoo_symbol,active
FAST,PT Fast Food Indonesia Tbk,FAST.JK,1
FASW,PT Fajar Surya Wisesa Tbk,FASW.JK,1
FILM,PT.MD Entertainment Tbk,FILM.JK,1
FIMP,PT Fimperkasa Utama Tbk,FIMP.JK,1
FIRE,PT Alfa Energi Investama Tbk,FIRE.JK,1
FISH,PT FKS Multi Agro Tbk,FISH.JK,1
FITT,PT Hotel Fitra International Tbk,FITT.JK,1
FLMC,PT Falmaco Nonwoven Industri Tbk,FLMC.JK,1
FMII,PT Fortune Mate Indonesia Tbk,FMII.JK,1
FOLK,PT Multi Garam Utama Tbk,FOLK.JK,1
FOOD,PT Sentra Food Indonesia Tbk,FOOD.JK,1
FORE,PT Fore Kopi Indonesia Tbk,FORE.JK,1
FORU,PT Fortune Indonesia Tbk,FORU.JK,1
FPNI,PT Lotte Chemical Titan Tbk,FPNI.JK,1
FUJI,PT Fuji Finance Indonesia Tbk,FUJI.JK,1
FUTR,PT Lini Imaji Kreasi Ekosistem Tbk,FUTR.JK,1
FWCT,PT Wijaya Cahaya Timber Tbk,FWCT.JK,1
GDST,PT Gunawan Dianjaya Steel Tbk,GDST.JK,1
GDYR,PT Goodyear Indonesia Tbk,GDYR.JK,1
GEMA,PT Gema Grahasarana Tbk,GEMA.JK,1
GEMS,PT Golden Energy Mines Tbk,GEMS.JK,1
GGRM,PT Gudang Garam Tbk,GGRM.JK,1
GGRP,PT Gunung Raja Paksi Tbk,GGRP.JK,1
GHON,PT Gihon Telekomunikasi Indonesia Tbk,GHON.JK,1
GIAA,PT. Garuda Indonesia (Persero) Tbk,GIAA.JK,1
GJTL,PT. Gajah Tunggal Tbk,GJTL.JK,1
GLOB,PT Globe Kita Terang Tbk,GLOB.JK,1
GLVA,PT Galva Technologies Tbk,GLVA.JK,1
GMFI,PT Garuda Maintenance Facility Aero Asia Tbk,GMFI.JK,1
GMTD,PT Gowa Makassar Tourism Development Tbk,GMTD.JK,1
GOLD,PT Visi Telekomunikasi Infrastruktur Tbk,GOLD.JK,1
GOLF,PT Intra Golflink Resorts Tbk,GOLF.JK,1
GOOD,PT Garudafood Putra Putri Jaya Tbk,GOOD.JK,1
GOTO,PT GoTo Gojek Tokopedia Tbk,GOTO.JK,1
GPRA,PT Perdana Gapuraprima Tbk,GPRA.JK,1
GPSO,PT Geoprima Solusi Tbk,GPSO.JK,1
GRIA,PT Ingria Pratama Capitalindo Tbk,GRIA.JK,1
GRPH,PT Griptha Putra Persada Tbk,GRPH.JK,1
GRPM,PT Graha Prima Mentari Tbk,GRPM.JK,1
GSMF,PT Equity Development Investment Tbk,GSMF.JK,1
GTBO,PT Garda Tujuh Buana Tbk,GTBO.JK,1
GTRA,PT Grahaprima Suksesmandiri Tbk,GTRA.JK,1
GTSI,PT GTS Internasional Tbk,GTSI.JK,1
GULA,PT Aman Agrindo Tbk,GULA.JK,1
GUNA,PT Gunanusa Eramandiri Tbk,GUNA.JK,1
GWSA,PT Greenwood Sejahtera Tbk,GWSA.JK,1
GZCO,PT Gozco Plantations Tbk,GZCO.JK,1
HADE,PT Himalaya Energi Perkasa Tbk,HADE.JK,1
HAIS,PT Hasnur Internasional Shipping Tbk,HAIS.JK,1
HAJJ,PT Arsy Buana Travelindo Tbk,HAJJ.JK,1
HALO,PT Haloni Jane Tbk,HALO.JK,1
HATM,PT Habco Trans Maritima Tbk,HATM.JK,1
HBAT,PT Minahasa Membangun Hebat Tbk,HBAT.JK,1
HDFA,PT Radana Bhaskara Finance Tbk,HDFA.JK,1
HDIT,PT Hensel Davest Indonesia Tbk,HDIT.JK,1
HEAL,PT Medikaloka Hermina Tbk,HEAL.JK,1
HELI,PT Jaya Trishindo Tbk,HELI.JK,1
HERO,PT DFI Retail Nusantara Tbk,HERO.JK,1
HEXA,PT Hexindo Adiperkasa Tbk,HEXA.JK,1
HGII,PT Hero Global Investment Tbk,HGII.JK,1
HILL,PT Hillcon Tbk,HILL.JK,1
HITS,PT Humpuss Intermoda Transportasi Tbk.,HITS.JK,1
HMSP,PT Hanjaya Mandala Sampoerna Tbk,HMSP.JK,1
HOKI,PT Buyung Poetra Sembada Tbk,HOKI.JK,1
HOMI,PT Grand House Mulia Tbk,HOMI.JK,1
HOPE,PT Harapan Duta Pertiwi Tbk,HOPE.JK,1
HRME,PT Menteng Heritage Realty Tbk,HRME.JK,1
HRTA,PT Hartadinata Abadi Tbk,HRTA.JK,1
HRUM,PT Harum Energy Tbk,HRUM.JK,1
HUMI,PT Humpuss Maritim Internasional Tbk,HUMI.JK,1
HYGN,PT Ecocare Indo Pasifik Tbk,HYGN.JK,1
IATA,PT MNC Energy Investments Tbk,IATA.JK,1
IBFN,PT Intan Baru Prana Tbk,IBFN.JK,1
IBOS,PT Indo Boga Sukses Tbk,IBOS.JK,1
IBST,PT Inti Bangun Sejahtera Tbk,IBST.JK,1
ICBP,PT Indofood CBP Sukses Makmur Tbk,ICBP.JK,1
ICON,PT Island Concepts Indonesia Tbk,ICON.JK,1
IDEA,PT Idea Indonesia Akademi Tbk,IDEA.JK,1
IDPR,PT Indonesia Pondasi Raya Tbk,IDPR.JK,1
IFII,PT Indonesia Fibreboard Industry Tbk,IFII.JK,1
IFSH,PT Ifishdeco Tbk,IFSH.JK,1
IGAR,PT Champion Pacific Indonesia Tbk,IGAR.JK,1
IKAI,PT Intikeramik Alamasri Industri Tbk,IKAI.JK,1
IKAN,PT Era Mandiri Cemerlang Tbk,IKAN.JK,1
IKBI,PT Sumi Indo Kabel Tbk,IKBI.JK,1
IKPM,PT Ikapharmindo Putramas Tbk,IKPM.JK,1
IMAS,PT Indomobil Sukses Internasional Tbk,IMAS.JK,1
IMJS,PT Indomobil Multi Jasa Tbk,IMJS.JK,1
IMPC,PT Impack Pratama Industri Tbk,IMPC.JK,1
INAF,PT Indofarma Tbk,INAF.JK,1
INAI,PT Indal Aluminium Industry Tbk,INAI.JK,1
INCF,PT Indo Komoditi Korpora Tbk,INCF.JK,1
INCI,PT Intanwijaya Internasional Tbk,INCI.JK,1
INCO,PT Vale Indonesia Tbk,INCO.JK,1
INDF,PT Indofood Sukses Makmur Tbk,INDF.JK,1
INDO,PT Royalindo Investa Wijaya Tbk,INDO.JK,1
INDR,PT. Indo-Rama Synthetics Tbk,INDR.JK,1
INDS,PT Indospring Tbk,INDS.JK,1
INDX,PT Tanah Laut Tbk,INDX.JK,1
INDY,PT. Indika Energy Tbk,INDY.JK,1
INET,PT Sinergi Inti Andalan Prima Tbk,INET.JK,1
INKP,PT Indah Kiat Pulp & Paper Tbk,INKP.JK,1
INOV,PT Inocycle Technology Group Tbk,INOV.JK,1
INPC,PT Bank Artha Graha Internasional Tbk,INPC.JK,1
INPP,PT Indonesian Paradise Property Tbk,INPP.JK,1
INPS,PT Indah Prakasa Sentosa Tbk,INPS.JK,1
INRU,PT Toba Pulp Lestari Tbk,INRU.JK,1
INTA,PT Intraco Penta Tbk,INTA.JK,1
INTD,PT Inter Delta Tbk,INTD.JK,1
INTP,PT Indocement Tunggal Prakarsa Tbk,INTP.JK,1
IOTF,PT Sumber Sinergi Makmur Tbk,IOTF.JK,1
IPAC,PT Era Graharealty Tbk,IPAC.JK,1
IPCC,PT Indonesia Kendaraan Terminal Tbk,IPCC.JK,1
IPCM,PT Jasa Armada Indonesia Tbk,IPCM.JK,1
IPOL,PT Indopoly Swakarsa Industry Tbk,IPOL.JK,1
IPPE,PT Indo Pureco Pratama Tbk,IPPE.JK,1
